지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
노원구,202109,1,3,0,1,0,0,0,0,1,0,0,2,0,1,18,0
노원구,202110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
도봉구,201902,0,0,0,3,0,0,0,0,1,0,1,4,0,1,8,0
도봉구,201903,0,1,0,1,1,0,1,0,0,0,2,2,0,0,13,0
도봉구,201904,2,3,0,0,3,0,2,0,2,0,1,2,0,1,12,0
도봉구,201905,2,1,0,1,1,0,0,0,0,0,0,2,0,0,15,0
도봉구,201906,1,1,1,1,1,0,0,0,1,0,0,5,0,0,12,0
도봉구,201907,1,2,1,0,1,0,0,0,2,0,1,5,0,0,10,0
도봉구,201908,3,0,0,0,0,0,2,0,0,0,0,1,0,0,6,0
도봉구,201909,2,0,0,1,2,0,0,1,1,0,0,2,0,0,10,0
도봉구,201910,1,0,0,0,2,0,1,0,0,1,1,4,0,0,13,0
도봉구,201911,0,1,0,1,1,0,0,0,0,1,0,3,0,1,6,0
도봉구,201912,2,3,0,0,1,0,0,1,3,0,1,5,0,0,13,1
도봉구,202001,1,1,0,0,0,0,1,0,0,0,0,2,0,1,4,0
도봉구,202002,2,1,0,0,3,0,0,1,2,1,0,6,0,1,11,0
도봉구,202003,0,2,0,1,0,0,0,0,0,0,0,2,0,0,9,0
도봉구,202004,1,2,0,0,4,0,1,0,1,0,0,2,0,0,5,0
도봉구,202005,0,0,0,0,1,0,0,1,1,0,0,5,0,0,2,0
도봉구,202006,0,0,0,1,4,0,1,0,0,0,0,6,0,0,6,0
도봉구,202007,0,0,1,0,2,0,0,0,1,0,1,5,0,0,1,1
도봉구,202008,0,2,1,0,0,1,1,0,2,0,0,4,0,0,8,0
도봉구,202009,0,0,1,0,1,0,0,0,0,0,2,2,1,0,7,0
도봉구,202010,1,0,0,0,1,0,1,0,2,0,0,5,0,0,9,0
도봉구,202011,1,1,0,0,3,1,1,1,0,0,0,1,0,0,4,0
도봉구,202012,0,2,0,0,1,0,1,0,0,0,0,5,0,1,6,0
도봉구,202101,0,1,0,0,2,0,0,0,2,0,0,1,1,0,6,0
도봉구,202102,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,0
도봉구,202103,0,2,0,1,0,0,0,0,0,0,1,3,0,0,8,0
도봉구,202104,3,0,0,0,4,0,1,0,0,0,0,6,0,0,12,2
도봉구,202105,0,2,0,2,0,0,1,0,1,0,1,3,0,0,10,0
도봉구,202106,1,1,0,0,2,0,2,0,0,1,1,5,0,0,6,0
도봉구,202107,2,2,0,1,1,0,0,0,0,0,0,6,0,0,12,0
도봉구,202108,2,7,1,1,15,0,1,0,3,0,1,15,0,0,37,1
도봉구,202109,0,3,0,0,7,0,1,0,1,1,1,6,0,0,16,0
도봉구,202110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
동대문구,201902,2,5,0,0,0,0,0,0,1,0,1,7,0,0,10,1
동대문구,201903,1,3,0,0,4,0,2,0,1,1,1,11,0,0,14,0
동대문구,201904,2,4,0,2,1,0,0,0,0,0,2,7,0,1,23,0
동대문구,201905,1,0,0,4,5,0,3,0,0,1,1,12,1,0,12,0
동대문구,201906,0,0,1,0,3,0,0,2,1,2,0,3,0,1,16,1
동대문구,201907,1,7,0,2,1,0,0,0,3,0,2,5,0,0,18,0
