,지역(구),폐업연월,경양식,기타,김밥(도시락),까페,분식,뷔페식,식육(숯불구이),외국음식전문점(인도태국등),일식,정종/대포집/소주방,중국식,통닭(치킨),패밀리레스트랑,패스트푸드,한식,횟집
112,강서구,202003,2.985074627,3.50877193,0.0,0.0,3.296703297,0.0,14.28571429,0.0,3.669724771,5.940594059,8.888888889,1.775147929,0.0,0.0,2.380952381,0.0
113,강서구,202004,2.23880597,3.50877193,0.0,0.0,2.197802198,11.11111111,0.0,0.0,3.669724771,2.97029703,0.0,1.775147929,0.0,0.0,2.255639098,9.090909091
114,강서구,202005,2.23880597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.256880734,0.0,0.0,2.958579882,0.0,0.0,1.754385965,9.090909091
115,강서구,202006,0.746268657,0.0,0.0,0.0,2.197802198,0.0,14.28571429,0.0,4.587155963,1.98019802,0.0,2.958579882,0.0,0.0,2.631578947,9.090909091
116,강서구,202007,2.23880597,3.50877193,0.0,0.0,2.197802198,0.0,0.0,0.0,4.587155963,3.96039604,8.888888889,1.183431953,0.0,0.0,2.756892231,0.0
117,강서구,202008,2.23880597,1.754385965,0.0,50.0,3.296703297,0.0,0.0,0.0,3.669724771,2.97029703,6.666666667,2.958579882,0.0,11.11111111,4.761904762,0.0
118,강서구,202009,2.985074627,5.263157895,0.0,0.0,2.197802198,0.0,0.0,0.0,1.834862385,2.97029703,6.666666667,2.958579882,0.0,0.0,3.383458647,0.0
119,강서구,202010,2.23880597,3.50877193,0.0,0.0,2.197802198,11.11111111,14.28571429,14.28571429,2.752293578,2.97029703,4.444444444,4.733727811,0.0,11.11111111,4.010025063,0.0
120,강서구,202011,3.731343284,3.50877193,0.0,0.0,2.197802198,11.11111111,0.0,14.28571429,3.669724771,3.96039604,4.444444444,4.142011834,0.0,22.22222222,2.506265664,9.090909091
121,강서구,202012,3.731343284,1.754385965,0.0,0.0,2.197802198,0.0,14.28571429,0.0,0.917431193,4.95049505,0.0,3.550295858,0.0,0.0,5.764411028,9.090909091
122,강서구,202101,2.985074627,5.263157895,0.0,0.0,1.098901099,0.0,0.0,7.142857143,0.917431193,0.0,0.0,1.183431953,0.0,11.11111111,3.634085213,0.0
123,강서구,202102,2.985074627,3.50877193,0.0,0.0,1.098901099,11.11111111,0.0,0.0,8.256880734,1.98019802,0.0,2.366863905,0.0,0.0,3.383458647,9.090909091
124,강서구,202103,2.985074627,1.754385965,0.0,0.0,3.296703297,0.0,0.0,7.142857143,4.587155963,4.95049505,2.222222222,1.183431953,0.0,0.0,3.383458647,0.0
125,강서구,202104,2.23880597,5.263157895,0.0,0.0,5.494505495,0.0,0.0,0.0,3.669724771,3.96039604,8.888888889,2.958579882,0.0,0.0,3.50877193,0.0
126,강서구,202105,4.47761194,3.50877193,0.0,0.0,5.494505495,0.0,14.28571429,0.0,2.752293578,6.930693069,4.444444444,6.50887574,0.0,0.0,4.260651629,0.0
127,강서구,202106,6.71641791,8.771929825,0.0,0.0,3.296703297,11.11111111,0.0,0.0,1.834862385,2.97029703,0.0,2.366863905,0.0,0.0,2.756892231,0.0
128,강서구,202107,5.223880597,1.754385965,0.0,50.0,1.098901099,0.0,0.0,7.142857143,3.669724771,0.99009901,6.666666667,2.958579882,0.0,0.0,3.50877193,0.0
129,강서구,202108,2.985074627,5.263157895,0.0,0.0,4.395604396,0.0,0.0,7.142857143,5.504587156,2.97029703,6.666666667,3.550295858,0.0,0.0,4.887218045,18.18181818
130,강서구,202109,4.47761194,3.50877193,0.0,0.0,3.296703297,0.0,0.0,0.0,3.669724771,0.0,0.0,4.733727811,0.0,22.22222222,4.135338346,9.090909091
131,강서구,202110,0.746268657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.591715976,0.0,0.0,0.250626566,0.0
144,관악구,202002,0.854700855,10.95890411,0.0,5.882352941,2.797202797,18.18181818,0.0,0.0,3.571428571,2.127659574,2.941176471,7.174887892,0.0,0.0,2.280701754,8.333333333
145,관악구,202003,5.982905983,2.739726027,0.0,11.76470588,2.097902098,0.0,0.0,0.0,0.0,4.255319149,0.0,3.139013453,0.0,0.0,2.98245614,0.0
146,관악구,202004,3.418803419,2.739726027,12.5,0.0,2.097902098,0.0,3.703703704,6.666666667,3.571428571,0.0,0.0,6.278026906,0.0,0.0,1.578947368,0.0
147,관악구,202005,2.564102564,1.369863014,0.0,0.0,0.699300699,0.0,3.703703704,0.0,0.0,2.127659574,2.941176471,2.69058296,0.0,0.0,2.105263158,8.333333333
148,관악구,202006,2.564102564,0.0,0.0,5.882352941,0.699300699,0.0,3.703703704,0.0,0.0,4.255319149,0.0,2.242152466,0.0,14.28571429,2.280701754,0.0
